code,name,country,magic1,magic2
AED,아랍에미리트 디르함,아랍에미리트,지폐,여행
AFN,아프가니,아프카니스탄,화폐,환전
ALL,렉,알바니아,,인스타그램
AMD,아르메니아 드람,아르메니아,,
AOA,콴자,앙골라,,
ARS,아르헨티나 페소,아르헨티나,,
AUD,오스트레일리아 달러,오스트레일리아,,
AUD,오스트레일리아 달러,키리바시,,
AUD,오스트레일리아 달러,코코넛 제도,,
AUD,오스트레일리아 달러,나우루,,
AUD,오스트레일리아 달러,투발루,,
AWG,아루반 길더/플로린,아루바,,
AZN,아제르 바이잔 마나트,아제르바이잔,,
BAM,마커,보스니아 헤르체코비나,,
BBD,바베이도스 달러,바베이도스,,
BDT,타카,방글라데쉬,,
BGN,불가리안 레프,불가리아,,
BHD,바레인 디나르,바레인,,
BIF,브룬디 프랑,브룬디,,
BMD,버뮤디안 달러,버뮤다,,
BND,브루나이 달러,브루나이,,
BND,브루나이 달러,싱가폴,,
BOB,볼리비아노,볼리비아,,
BRL,브라질리안 레알,브라질,,
BSD,바하미안 달러,바하마,,
BTN,눌트럼,부탄,,
BWP,풀라,보츠와나,,
BYR,벨라루시안 루블,벨라루스,,
BZD,벨리즈 달러,벨리즈,,
CAD,캐나디안 달러,캐나다,,
CDF,콩고프랑,콩고 킨샤사,,
CHF,스위스 프랑,리크텐슈타인,,
CHF,스위스 프랑,스위스,,
CLP,칠레니아 페소,칠레,,
CNY,위안,중국,,
COP,콜롬비안 페소,콜롬비아,,
CRC,코스타리칸 콜론,코스타리카,,
CUP,쿠반 페소,쿠바,,
CVE,카보 베르데 에스쿠도,카보 베르데,,
CZK,체코 코루나,체코 공화국,,
DJF,지부티 프랑,지부티,,
DKK,덴마크 크로네,덴마크,,
DOP,도미니칸 페소,도미니카 공화국,,
DZD,알제르 디나르,알제리아,,
EGP,이집트 파운드,이집트,,
ERN,낙파,에리트레아,,
ETB,에디오피안 비르,에디오피아,,
EUR,유로,아크로티리 데켈리아,,
EUR,유로,안도라,,
EUR,유로,오스트리아,,
EUR,유로,벨기에,,
EUR,유로,사이프러스,,
EUR,유로,에스토니아,,
EUR,유로,핀란드,,
EUR,유로,프랑스,,
EUR,유로,독일,,
EUR,유로,그리스,,
EUR,유로,아일랜드,,
EUR,유로,이태리,,
EUR,유로,코소보,,
EUR,유로,라트비아,,
EUR,유로,리투아니아,,
EUR,유로,룩셈부르크,,
EUR,유로,몰타,,
EUR,유로,모나코,,
EUR,유로,몬테네그로,,
EUR,유로,네덜란드,,
EUR,유로,포르투갈,,
EUR,유로,산마리노,,
EUR,유로,슬로바키아,,
EUR,유로,슬로베니아,,
EUR,유로,스페인,,
EUR,유로,바티칸,,
FJD,피지 달러,피지,,
