0,origin,made_by,name
1,北海道　旭川,高砂酒造㈱,純米吟醸　大雪
2,北海道　旭川,高砂酒造㈱,純米　国士無双
3,北海道　旭川,高砂酒造㈱,特別純米　国士無双　烈
4,北海道　旭川,高砂酒造㈱,純米酒　風のささやき
5,北海道　旭川,高砂酒造㈱,純米酒　法螺吹
6,北海道　旭川,高砂酒造㈱,純米大吟醸　あさひかわ
7,北海道　旭川,高砂酒造㈱,本醸造　国士無双
8,北海道　旭川,高砂酒造㈱,大吟醸酒　国士無双　紅
9,北海道　旭川,高砂酒造㈱,旭神威　大吟醸
10,北海道　旭川,高砂酒造㈱,旭神威　純米大吟醸
11,北海道　旭川,男山㈱,男山　寒酒
12,北海道　旭川,男山㈱,国芳乃名取酒
13,北海道　旭川,男山㈱,男山　純米大吟醸
14,北海道　旭川,男山㈱,男山　復古酒
15,北海道　旭川,合同酒精,特別純米　大雪乃蔵
16,北海道　旭川,合同酒精,純米吟醸　大雪乃蔵　絹雪
17,北海道　旭川,合同酒精,大雪の蔵　本醸造
18,北海道　旭川,合同酒精,北の誉　純米大吟醸
19,北海道　旭川,合同酒精,大吟醸　大雪乃蔵　鳳雪
20,北海道　旭川,合同酒精,純米　東川米　北の誉
21,北海道　旭川,合同酒精,にごり酒　親玉　北の誉
22,北海道　旭川,合同酒精,純米大吟醸　鰊御殿　北の誉
23,北海道　旭川,合同酒精,純米吟醸　大鳳　北の誉
24,北海道　旭川,合同酒精,大吟醸　慶福宝　北の誉
25,北海道　旭川,合同酒精,純米原酒　侍
26,青森県,八戸酒類,五戸のどんぺり
27,青森県,八戸酒類,如空　ふくよか純米
28,青森県,八戸酒類,如空　華想い純米大吟醸
29,青森県,八戸酒類,如空　華想い大吟醸
30,青森県,八戸酒類,如空　純米吟醸酒
31,青森県,八戸酒類,如空　純米酒金ラベル
32,青森県,八戸酒類,如空　大吟醸
33,青森県,八戸酒類,八鶴　大吟醸
34,青森県,八戸酒類,八鶴　華想い純米大吟醸
35,青森県,八戸酒類,八鶴　剛酒
36,青森県,八戸酒類,八鶴　純米吟醸
37,青森県,八戸酒類,八鶴　純米酒
38,青森県,桃川,桃川　純米吟醸
39,青森県,桃川,桃川　大吟醸純米
40,岩手県,喜久盛,taxidriver　タクドラ
41,岩手県,喜久盛,純吟鬼剣舞
42,岩手県,喜久盛,特純鬼剣舞
43,岩手県,赤武酒造,浜娘　純米吟醸酒
44,岩手県,赤武酒造,浜娘　純米酒
45,岩手県,赤武酒造,浜娘　本醸造
46,岩手県,赤武酒造,浜娘　しぼりたて
47,岩手県,桜顔酒造,純米吟醸 銀河鉄道の夜
48,岩手県,桜顔酒造,純米大吟醸 飛天抄 
49,岩手県,桜顔酒造,南部の雫 大吟醸 
50,岩手県,桜顔酒造,南部の雫 純米大吟醸 
51,岩手県,桜顔酒造,特別本醸造　桜顔
52,岩手県,桜顔酒造,桜顔　特別純米酒五割五分 
53,秋田県　由利本荘,斎弥酒造,雪の茅舎　山廃本醸造
54,秋田県　由利本荘,斎弥酒造,雪の茅舎　山廃純米
55,秋田県　由利本荘,斎弥酒造,雪の茅舎　秘伝山廃純米吟醸
56,秋田県　由利本荘,斎弥酒造,雪の茅舎　純米吟醸
57,秋田県　由利本荘,斎弥酒造,雪の茅舎　大吟醸
58,秋田県　由利本荘,斎弥酒造,雪の茅舎　純米大吟醸
59,秋田県,阿桜,阿櫻　純米　超旨辛口　　ＡＫ
60,秋田県　湯沢,秋田銘醸㈱,純米大吟醸　唐獅子
61,秋田県　湯沢,秋田銘醸㈱,大吟醸　牡丹
62,秋田県　湯沢,秋田銘醸㈱,きもと特醸原酒
63,秋田県　湯沢,秋田銘醸㈱,むかしながらのにごり酒
64,秋田県　湯沢,秋田銘醸㈱,花爛漫
65,秋田県　湯沢,秋田銘醸㈱,花爛漫小町
66,秋田県　湯沢,秋田銘醸㈱,吟醸生貯
67,秋田県　湯沢,秋田銘醸㈱,原酒湯沢
68,秋田県　湯沢,秋田銘醸㈱,祝美酒
69,秋田県　湯沢,秋田銘醸㈱,美酒爛漫　特別純米
70,秋田県　湯沢,秋田銘醸㈱,爛漫　普通酒
71,秋田県　湯沢,秋田銘醸㈱,爛漫　本醸造
72,秋田県　湯沢,秋田銘醸㈱,とびっきり自然な純米酒
73,秋田県　湯沢,秋田銘醸㈱,冷涼爛漫
74,秋田県　湯沢,秋田銘醸㈱,香り爛漫　純米大吟醸
75,秋田県　湯沢,秋田銘醸㈱,香り爛漫　純米吟醸
76,秋田県　湯沢,秋田銘醸㈱,香り爛漫　純米
77,秋田県　湯沢,秋田銘醸㈱,生もと純米吟醸
78,秋田県　湯沢,秋田銘醸㈱,純米　ふなおろし
79,秋田県　湯沢,秋田銘醸㈱,純米酒　まなぐ凧
80,秋田県　湯沢,秋田銘醸㈱,純米吟醸　まなぐ凧
81,秋田県　湯沢,秋田銘醸㈱,秋田純醸純米酒　登仙郷
82,秋田県　湯沢,秋田銘醸㈱,本醸造名水仕込み　宇留院内
83,秋田県　潟上,小玉醸造,大平山　純米秋田きもと
84,秋田県　潟上,小玉醸造,きもと純米　神月
85,秋田県　潟上,小玉醸造,純米吟醸　澄月
86,秋田県　潟上,小玉醸造,純米大吟醸　神月
87,秋田県　潟上,小玉醸造,大平山　純米大吟醸　天巧
88,秋田県　潟上,小玉醸造,Peaceful Mountain Junmai Ginjo
89,秋田県　潟上,小玉醸造,Peaceful Mountain Junmai
90,秋田県　潟上,小玉醸造,太平山　純米大吟醸　天巧５０
91,秋田県　潟上,小玉醸造,太平山　生酛純米無濾過生　別誂
92,秋田県　潟上,小玉醸造,太平山　生酛純米無濾過生
93,秋田県　潟上,小玉醸造,太平山　純米酒　艸月　別誂
94,秋田県　潟上,小玉醸造,太平山　本醸造しぼりたて生原酒
95,秋田県　潟上,小玉醸造,太平山　純米秋田生酛にごり生酒
96,秋田県　潟上,小玉醸造,太平山　ひやおろし　艸月　別誂
97,秋田県　潟上,小玉醸造,太平山　純米吟醸　神月　五百万石
98,秋田県　潟上,小玉醸造,大平山　天功　無濾過生
99,秋田県　潟上,小玉醸造,月に雁
100,秋田県　潟上,小玉醸造,大平山　別誂　山田錦
101,秋田県　潟上,小玉醸造,大平山　別誂　秋田酒こまち
102,秋田県　潟上,小玉醸造,大平山　別誂　美山錦
103,秋田県　潟上,小玉醸造,大平山　別誂　白神仕込
104,秋田県　潟上,小玉醸造,太平山　大吟醸壽保年
105,秋田県　潟上,小玉醸造,銀紋　大平山
106,秋田県　潟上,小玉醸造,大平山　辛口
107,秋田県　潟上,小玉醸造,大平山　きもと本醸造
108,秋田県　潟上,小玉醸造,游神　純米大吟醸
109,秋田県　潟上,小玉醸造,全国新酒鑑評会金賞受賞酒
110,秋田県　潟上,小玉醸造,純米吟醸　神月
111,秋田県　潟上,小玉醸造,津月
112,秋田県　潟上,小玉醸造,津月　無濾過生
113,秋田県,北鹿,北秋田　純米大吟醸
114,秋田県,北鹿,北秋田　大吟醸
115,秋田県　湯沢,木村酒造㈱,福小町　純米吟醸
116,秋田県　湯沢,木村酒造㈱,福小町　純米辛口
117,秋田県　湯沢,木村酒造㈱,福小町　純米大吟醸
118,秋田県　湯沢,木村酒造㈱,福小町　大吟醸
119,秋田県　湯沢,木村酒造㈱,福小町　本醸造
120,秋田県　湯沢,両関酒造㈱,純米吟醸　雪月花
121,秋田県　湯沢,両関酒造㈱,純米大吟醸　雪月花
122,秋田県　湯沢,両関酒造㈱,大吟醸原酒　雪月花
123,秋田県　湯沢,両関酒造㈱,特別純米　雪月花
124,秋田県　湯沢,両関酒造㈱,両関　純米酒
125,秋田県,秋田酒類製造,高清水　大吟醸　嘉兆
126,秋田県,秋田酒類製造,純米大吟醸　高清水
127,秋田県,秋田酒類製造,高清水　初しぼり
128,秋田県,秋田酒類製造,高清水　酒乃国純米酒
129,秋田県,秋田酒類製造,高清水　本醸造　上撰辛口
130,秋田県,秋田酒類製造,高清水　無濾過純米
131,秋田県,秋田酒類製造,高清水　精選
132,宮城県　気仙沼,㈱角星,金紋両国　純米大吟醸　亀鶴
133,宮城県　気仙沼,㈱角星,金紋両国　大吟醸　喜祥
134,宮城県　気仙沼,㈱角星,金紋両国　特別純米　舩尾灯
135,宮城県　気仙沼,㈱角星,金紋両国　特別本醸造　別格
136,宮城県　気仙沼,㈱角星,金紋両国　特別純米　別格
137,宮城県　気仙沼,㈱角星,金紋両国　本醸造
138,宮城県,男山本店,蒼天伝　蔵の華　純米
139,宮城県,男山本店,蒼天伝　特別本醸造
140,宮城県,男山本店,蒼天伝　大吟醸
141,宮城県,男山本店,蒼天伝　特別純米
142,宮城県,男山本店,陸前男山　吟醸酒
143,宮城県,佐浦,浦霞　生一本
144,宮城県,佐浦,浦霞　純米酒
145,宮城県,佐浦,浦霞　からくち
146,宮城県,佐浦,浦霞　本仕込み
147,宮城県,佐浦,浦霞  禅  純米吟醸酒
148,宮城県,佐浦,鳳陽　純米大吟醸
149,宮城県,佐浦,鳳陽　純米
150,宮城県,一ノ蔵,一ノ蔵　特別純米辛口
151,宮城県,一ノ蔵,一ノ蔵　無鑑査本醸造辛口
152,宮城県,一ノ蔵,一ノ蔵　すず音
153,宮城県,一ノ蔵,一ノ蔵　たる酒
154,山形県　鶴岡,富士酒造㈱,大吟醸　古酒屋のひとりよがり
155,山形県　鶴岡,富士酒造㈱,純米吟醸　雪の降る町を
156,山形県　鶴岡,富士酒造㈱,純米吟醸　心鍵
157,山形県　鶴岡,富士酒造㈱,栄光富士　純米吟醸　朝顔ラベル
158,山形県　鶴岡,富士酒造㈱,栄光富士　本醸造辛口
159,山形県,千代寿,出羽の里千代寿　特別純米
160,山形県,月山酒造,銀嶺月山　純米
161,山形県,月山酒造,銀嶺月山　本醸造 
162,山形県,和田酒造,あら玉 改良信交 特別純米
163,山形県,出羽桜酒造,出羽桜　桜花吟醸
164,山形県,出羽桜酒造,出羽桜　一耕
165,山形県,出羽桜酒造,出羽桜　出羽燦々　誕生記念酒　本生
166,山形県　南陽市,東の麓酒造,つや姫　なんどでも
167,山形県　南陽市,東の麓酒造,純米大吟醸　東の麓　出羽燦々
168,山形県　南陽市,東の麓酒造,東の麓　特別純米酒　山田錦100％
169,山形県　南陽市,東の麓酒造,東の麓　純米吟醸　山形セレクション
170,山形県　南陽市,東の麓酒造,純米大吟醸　龍龍龍龍（てつ）
171,山形県　東根,六歌仙,六歌仙　純米超辛口
172,山形県　東根,六歌仙,六歌仙　五段仕込純米
173,山形県　東根,六歌仙,手間暇　純米大吟醸
174,山形県　東根,六歌仙,手間暇　大吟醸
175,山形県　東根,六歌仙,ひととき　純米
176,山形県,加藤嘉八郎商店,大山 特別純米酒　７２０ｍｌ
177,山形県,東北銘醸,初孫　純米本辛口　摩斬　７２０ｍｌ
178,山形県,小嶋総本店,純米大吟醸袋吊り
179,山形県,小嶋総本店,大吟醸袋吊り
180,山形県,小嶋総本店,大吟醸　山田錦
181,山形県,小嶋総本店,純米大吟醸　山田錦
182,山形県,小嶋総本店,大吟醸　左唎き
183,山形県,小嶋総本店,辛口純米大吟醸　美山錦
184,山形県,小嶋総本店,純米吟醸  出羽燦々
185,山形県,小嶋総本店,東光　出羽の里純米吟醸原酒　山形セレクション
186,山形県,小嶋総本店,東光　純米吟醸原酒
187,山形県,小嶋総本店,東光　吟醸
188,山形県,小嶋総本店,東光　純米
189,山形県,小嶋総本店,東光　限定　純米吟醸　(ひやおろし)
190,山形県,小嶋総本店,東光　季節限定　純米酒　(花見酒)
191,山形県,小嶋総本店,東光　季節限定　純米原酒　(夏酒)
192,山形県,小嶋総本店,東光　純米生原酒　(しぼりたて)
193,山形県,渡会本店,出羽ノ雪　大吟醸　酒のいのち
194,山形県,渡会本店,出羽ノ雪　純米大吟醸　酒のいのち
195,山形県,渡会本店,出羽ノ雪　純米大吟醸　壺中之天
